Month, Bad
December, http://newsinfo.inquirer.net/551001/no-layoff-of-casuals-deped
December, http://newsinfo.inquirer.net/550993/ice-storm-snarls-travel-across-eastern-canada
December, http://newsinfo.inquirer.net/550907/thai-opposition-rally-heaps-pressure-on-pm
December, http://newsinfo.inquirer.net/550901/palace-opts-to-stay-away-from-binays-dasmarinas-incident
December, http://newsinfo.inquirer.net/550851/child-hit-by-stray-bullet-in-naia-3-shooting-now-in-stable-condition
December, http://newsinfo.inquirer.net/550845/aquino-pledges-to-complete-rehab-of-areas-hit-by-pablo
December, http://newsinfo.inquirer.net/550835/cargo-train-derails-in-nairobi-slum-scores-feared-trapped
December, http://newsinfo.inquirer.net/550829/napoles-seeks-extension-of-visiting-hours-for-christmas-new-year
December, http://newsinfo.inquirer.net/550823/duterte-vows-to-cancel-business-permits-of-rice-smugglers
December, http://newsinfo.inquirer.net/550813/storm-nearly-2000-miles-wide-grounds-some-us-flights
December, http://newsinfo.inquirer.net/550807/tension-grips-hacienda-luisita-over-arrest-of-farmers
December, http://newsinfo.inquirer.net/550797/3-us-military-aircraft-hit-in-s-sudan-4-wounded
December, http://newsinfo.inquirer.net/550791/yolanda-death-toll-rises-anew
December, http://newsinfo.inquirer.net/550779/suicide-attack-near-libyas-benghazi-kills-seven-witnesses
December, http://newsinfo.inquirer.net/550765/hospital-teen-who-was-shot-at-us-school-dies
December, http://newsinfo.inquirer.net/550637/in-legislation-filed-santiago-says-shes-ahead-of-enrile
December, http://newsinfo.inquirer.net/550595/immigration-pagasa-appointments-now-permanent
December, http://newsinfo.inquirer.net/550589/cops-looking-at-politics-drugs-angle
December, http://newsinfo.inquirer.net/550447/aquino-to-spread-christmas-cheer-among-yolanda-victims
December, http://newsinfo.inquirer.net/550433/police-eye-politics-drugs-blood-feud-in-mayors-slay
December, http://newsinfo.inquirer.net/550417/security-beefed-up-at-naia
December, http://newsinfo.inquirer.net/550409/borrowers-told-to-pay-loans-even-if-banks-have-closed
December, http://newsinfo.inquirer.net/550401/3-killed-in-cebu-road-accident
December, http://newsinfo.inquirer.net/550385/slain-mayor-hailed-by-townmate
December, http://newsinfo.inquirer.net/550377/family-of-wounded-girl-in-manila-airport-shooting-seeks-financial-aid
December, http://newsinfo.inquirer.net/550363/communists-slam-afp-chiefs-christmas-ceasefire-comment
December, http://newsinfo.inquirer.net/550349/weather-bureau-forecasts-good-christmas-weather
December, http://newsinfo.inquirer.net/550335/chinese-billionaire-feared-dead-in-france-helicopter-crash
December, http://newsinfo.inquirer.net/550183/charter-change-a-ploy-to-revive-pork-says-lawmaker
December, http://newsinfo.inquirer.net/550177/aquino-calls-26-day-truce
December, http://newsinfo.inquirer.net/550173/mayor-binay-should-have-been-told-to-go-on-leave-says-alan-cayetano
December, http://newsinfo.inquirer.net/550167/drug-issue-suspected-in-mayor-talumpas-killing
December, http://newsinfo.inquirer.net/549981/aquino-signs-2014-budget-into-law
December, http://newsinfo.inquirer.net/550089/dilg-should-investigate-mayor-binay-says-senator-alan-cayetano
December, http://newsinfo.inquirer.net/549967/wildlife-bureau-to-probe-dugongs-death-on-seaweed-farm
December, http://newsinfo.inquirer.net/549957/statement-by-philippine-daily-inquirer-publisher-raul-c-pangalangan
December, http://newsinfo.inquirer.net/549949/amihan-brings-rains-to-parts-of-luzon-metro-manila
December, http://newsinfo.inquirer.net/549943/de-lima-forms-task-force-to-probe-enrile
December, http://newsinfo.inquirer.net/549933/militant-group-warns-govt-against-black-sand-mining
December, http://newsinfo.inquirer.net/549927/prosecutors-acknowledge-innocent-man-arrested-in-massacre-case
December, http://newsinfo.inquirer.net/549919/residents-of-iloilo-area-affected-by-oil-spill-told-its-safe-to-go-home
December, http://newsinfo.inquirer.net/549913/fighting-among-moro-rebels-triggers-evacuation
December, http://newsinfo.inquirer.net/549897/de-lima-orders-probe-on-naia-shooting
December, http://newsinfo.inquirer.net/549881/deped-gets-p2-b-to-rebuild-schools-in-yolanda-hit-areas
December, http://newsinfo.inquirer.net/549877/classes-in-six-zamboanga-schools-suspended-after-abduction-of-teacher
December, http://newsinfo.inquirer.net/549871/spain-seeks-tighter-abortion-law-sparking-protests
December, http://newsinfo.inquirer.net/549863/chinas-frugality-drive-now-targets-fancy-funerals
December, http://newsinfo.inquirer.net/549855/congress-passes-us-defense-bill-obama-to-sign
December, http://newsinfo.inquirer.net/549677/alleged-shooting-reported-at-naia-3
